epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,493.7,2.20014,4.60578,1.63801,0.37469,0.14051,0.0301,0.0168,1.5809,3.92104,1.17586,0.000110126,0.000110126,0.000110126
2,941.276,1.69112,3.60257,1.19444,0.35538,0.14461,0.0973,0.05827,1.41928,2.85606,1.10913,0.000218937,0.000218937,0.000218937
3,1277.76,1.58288,2.94512,1.16306,0.56976,0.23605,0.23625,0.14399,1.36828,2.23261,1.10825,0.00032555,0.00032555,0.00032555
4,1608.95,1.50939,2.51856,1.14875,0.71779,0.30676,0.34143,0.21622,1.30302,1.84095,1.08032,0.00032311,0.00032311,0.00032311
5,1967.55,1.43074,2.22465,1.11799,0.71011,0.3816,0.46559,0.29941,1.26811,1.61511,1.0603,0.000319813,0.000319813,0.000319813
6,2545.85,1.42592,2.0639,1.11466,0.64788,0.46465,0.51244,0.32998,1.27186,1.45522,1.08629,0.000316517,0.000316517,0.000316517
7,3080.26,1.38188,1.86775,1.09626,0.62939,0.51956,0.56986,0.36807,1.2318,1.26291,1.06911,0.00031322,0.00031322,0.00031322
8,3601.52,1.34385,1.77901,1.08922,0.67766,0.53421,0.62175,0.40714,1.21272,1.22505,1.06097,0.000309923,0.000309923,0.000309923
9,4089.99,1.3269,1.66788,1.07679,0.61547,0.62692,0.65172,0.43323,1.16891,1.11348,1.04918,0.000306626,0.000306626,0.000306626
10,4514.04,1.30326,1.58944,1.0774,0.6496,0.63872,0.67288,0.45114,1.17516,1.08945,1.03967,0.00030333,0.00030333,0.00030333
11,4969.76,1.27766,1.51359,1.06286,0.75094,0.64532,0.72048,0.48603,1.13673,1.02784,1.04733,0.000300033,0.000300033,0.000300033
12,5494.91,1.25202,1.45534,1.06019,0.7028,0.6929,0.7515,0.50006,1.17139,0.99996,1.06619,0.000296736,0.000296736,0.000296736
13,5858.75,1.24735,1.40975,1.05182,0.7206,0.72325,0.77132,0.53044,1.10441,0.94569,1.02946,0.00029344,0.00029344,0.00029344
14,6186.93,1.21898,1.36387,1.04655,0.70801,0.74012,0.78457,0.53883,1.08479,0.92411,1.00978,0.000290143,0.000290143,0.000290143
15,6710.72,1.23121,1.35004,1.04963,0.71967,0.76419,0.79725,0.54468,1.12126,0.90045,1.03392,0.000286846,0.000286846,0.000286846
16,7101.98,1.22205,1.31046,1.04445,0.66017,0.77106,0.76704,0.52252,1.11218,0.89848,1.02345,0.00028355,0.00028355,0.00028355
17,7476.09,1.20213,1.30312,1.03729,0.75821,0.77702,0.81294,0.55849,1.09172,0.8614,1.02354,0.000280253,0.000280253,0.000280253
18,7816.12,1.19086,1.26084,1.02795,0.71164,0.78466,0.80871,0.54635,1.10874,0.87474,1.02503,0.000276956,0.000276956,0.000276956
